0	15.4
3.7	15.5
7.9	15.5
10.2	15.4
14.4	15.4
18.5	15.3
21.5	15.2
25.1	15.2
28.6	15.4
32.1	15.8
38	16.1
42.7	16.5
47.5	16.9
51.6	17.5
56.3	17.9
59.8	18.5
61.6	18.8
63.3	19.1
63.9	19.4
69.8	18.7
74.5	18.9
81	19.2
85.2	19.2
89.9	19.2
95.3	18.8
101.8	19.3
106.6	18.7
114.3	18.3
120.3	17.9
123.8	17.6
126.8	17.6
129.8	17.8
130.3	17.9
130.9	18
135.7	18.1
141	17.8
149.9	17.7
155.2	17.8
159.4	17.8
163.5	17.6
169.5	17.4
174.8	16.9
174.8	16.9
180.8	16.4
186.1	15.9
190.3	15.6
193.3	15.4
197.4	15.4
201	15.7
202.7	17.1
203.8	17.4
211.5	18.4
216.8	19.2
217.3	19.5
219.1	19.6
227.4	19.2
231	18.9
236.9	18.8
242.3	18.5
245.2	18.3
248.8	18.3
249.9	19.1
252.9	18.8
255.9	18.6
258.9	18.4
270.1	18.5
278.4	18.5
287.9	17.7
296.9	16.6
310	15.2
320.7	14
325.5	13.1
329.1	13
334.4	12.8
340.9	12.9
344.5	12.9
349.2	13
356.9	13.3
361.6	13.5
365.2	13.6
369.3	13.5
371.7	13.1
379.4	13.8
379.4	14.5
392.9	16.7
396.4	17.6
398.1	18.2
399.9	18.4
405.2	18.1
408.2	17.7
415.3	17.5
424.2	17.5
431.3	17.7
434.2	18.1
438.4	18.1
442.5	17.9
444.3	17.8
450.2	18.7
456.7	19.2
460.8	19.5
465	19.6
472.7	19.6
483.3	19.4
499.9	19
507.1	18.9
510	19
520.7	18.9
532.5	18.9
537.9	19.1
542	19
547.3	18.9
